,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
digital,0,1,0,0,0,0
incision,0,1,0,0,0,0
enjealous,0,1,0,0,0,0
amazement,0,6,0,20,1,0
wondering,0,1,4,2,1,0
retrograde,0,1,0,0,0,0
drained,0,1,0,2,0,0
injunctions,0,1,0,1,0,0
crimson,0,3,0,3,0,0
unwonted,0,1,0,1,0,0
drain,0,1,1,0,0,0
imploring,0,1,0,2,0,0
maids,0,9,0,1,0,0
piteously,0,1,0,2,0,0
intercede,0,1,0,1,0,0
impressment,0,1,0,0,0,0
bundle,0,7,4,6,0,0
wry,0,1,0,0,0,0
decoction,0,1,0,0,0,0
nauseous,0,3,0,1,0,0
snub,0,1,0,0,3,0
distort,0,2,0,1,0,0
medicinal,0,2,0,0,0,0
wreath,0,6,0,0,0,0
lotus,0,1,0,0,1,0
lethe,0,1,0,0,0,0
conquistadores,0,1,0,0,0,0
floridas,0,1,0,0,0,0
smelling,0,2,0,9,0,0
joke,0,5,1,15,2,0
thwart,0,2,3,0,0,0
hush,0,9,0,21,0,0
haarlem,0,2,0,0,0,0
vanderpool,0,1,0,0,0,0
pharmacopoeia,0,1,0,0,0,0
latched,0,1,0,0,0,0
handful,0,4,0,8,0,0
sashes,0,3,0,2,0,0
whiff,0,2,3,0,0,0
wisp,0,2,1,0,1,0
grotesque,0,2,0,3,0,0
puzzles,0,1,0,3,0,0
sceptic,0,3,0,0,0,0
ho,0,5,21,1,0,0
baneful,0,1,0,1,1,0
unshed,0,1,0,0,0,0
sleeplessness,0,1,0,0,0,0
dreads,0,3,0,0,0,0
ophelia,0,1,0,0,0,0
crants,0,1,0,0,0,0
maiden,0,1,0,4,3,0
strewments,0,1,0,0,0,0
berkeley,0,5,0,0,2,0
annual,0,1,0,1,3,0
riser,0,1,0,1,0,0
greeted,0,1,1,2,0,0
jubilant,0,1,0,0,0,0
diagnosed,0,1,0,0,0,0
ma,0,1,0,33,0,0
stuffy,0,1,0,0,0,0
bunch,0,6,1,11,0,0
mischievous,0,1,0,2,2,0
palms,0,4,1,0,1,0
sob,0,5,1,15,0,0
racking,0,1,0,0,0,0
appealing,0,3,0,1,1,0
universe,0,2,0,3,4,0
beset,0,5,0,1,3,0
pagan,0,1,0,0,1,0
unknowing,0,3,0,0,0,0
waxen,0,4,0,0,1,0
hissing,0,1,0,0,0,0
ashy,0,1,0,0,0,0
healthy,0,2,0,1,12,0
consulting,0,2,1,1,1,0
ordeal,0,3,0,0,0,0
insane,0,2,0,2,2,0
diver,0,1,1,1,0,0
noises,0,1,2,3,0,0
boxful,0,1,0,0,0,0
boughs,0,1,2,3,0,0
napped,0,1,0,0,0,0
mall,0,3,0,0,0,0
gazette,0,9,0,1,0,0
interviewer,0,2,0,0,0,0
logical,0,5,0,1,4,0
refusals,0,1,0,0,0,0
talisman,0,1,0,0,0,0
section,0,2,0,1,2,9
bilder,0,6,0,0,0,0
enclosure,0,1,6,11,1,0
elephant,0,5,0,0,0,0
hospitable,0,2,0,0,0,0
average,0,2,0,0,2,1
pipe,0,1,27,4,2,0
arsk,0,5,0,0,0,0
excoose,0,2,0,0,0,0
refoosin,0,1,0,0,0,0
perfeshunal,0,1,0,0,0,0
afore,0,8,0,0,0,0
meals,0,1,1,3,10,0
jackals,0,2,0,0,0,0
hyenas,0,1,0,0,0,0
queried,0,1,0,0,0,0
wishful,0,1,0,0,0,0
talkative,0,1,0,0,0,0
ittin,0,3,0,0,0,0
ead,0,3,0,0,0,0
scratchin,0,2,0,0,0,0
gents,0,1,0,0,0,0
flush,0,1,2,4,0,0
orf,0,2,0,0,0,0
gals,0,1,0,0,0,0
fust,0,2,0,0,0,0
chucks,0,1,0,0,0,0
waits,0,1,0,4,1,0
ad,0,7,0,0,3,0
sherry,0,3,0,8,0,0
kawffee,0,1,0,0,0,0
philosophically,0,1,0,5,0,0
theer,0,1,1,0,0,0
animiles,0,4,0,0,0,0
arskin,0,1,0,0,0,0
grumpy,0,1,0,0,0,0
bloomin,0,8,0,0,0,0
arf,0,2,0,0,0,0
quid,0,3,4,5,0,0
blowed,0,1,0,0,0,0
fore,0,1,9,1,1,0
arsked,0,1,0,0,0,0
sarcastic,0,1,0,1,0,0
superintendent,0,2,0,0,1,0
offence,0,1,2,9,1,0
yer,0,10,0,0,0,0
ell,0,1,0,0,0,0
usin,0,1,0,0,0,0
obscene,0,1,0,0,1,0
weren,0,1,4,0,0,0
goin,0,1,0,0,0,0
owl,0,3,0,1,0,0
lions,0,1,1,14,0,0
tigers,0,1,0,3,0,0
lor,0,4,0,0,0,0
ooman,0,1,0,0,0,0
stuck,0,2,4,3,0,0
chunk,0,1,0,0,0,0
rinsed,0,1,0,2,0,0
teapot,0,2,0,0,0,0
hup,0,2,0,0,0,0
scratch,0,2,1,1,0,0
git,0,3,0,0,0,0
growl,0,1,1,0,0,0
ere,0,19,7,31,0,0
guv,0,6,0,0,0,0
ole,0,4,0,0,0,0
bersicker,0,9,0,0,0,0
norway,0,1,0,1,0,0
jamrach,0,1,0,0,0,0
im,0,10,0,0,0,0
wantin,0,1,0,0,0,0
animile,0,1,0,0,0,0
tom,0,1,24,2,0,0
e,0,9,12,189,27,7
mindin,0,1,0,0,0,0
blest,0,1,0,0,3,0
isself,0,5,0,0,0,0
feedin,0,1,0,0,0,0
litter,0,1,0,2,0,0
monkey,0,1,3,4,4,0
puma,0,1,0,0,0,0
yelpin,0,1,0,0,0,0
owlin,0,1,0,0,0,0
kem,0,4,0,0,0,0
tearin,0,1,0,0,0,0
chap,0,3,0,1,0,0
ook,0,1,0,0,0,0
runnin,0,1,0,0,0,0
ard,0,1,4,0,0,0
mislike,0,1,0,0,0,0
hirritated,0,1,0,0,0,0
gloves,0,1,0,18,0,0
ands,0,1,0,0,0,0
oped,0,1,0,0,0,0
ow,0,4,0,0,0,0
imitatin,0,1,0,0,0,0
bagful,0,1,0,0,0,0
talkin,0,1,1,0,0,0
tyke,0,1,0,0,0,0
tyking,0,1,0,0,0,0
trades,0,1,2,0,3,1
anceterer,0,1,0,0,0,0
keepers,0,2,0,6,1,0
ave,0,2,0,0,0,0
perlite,0,1,0,0,0,0
kep,0,1,0,0,0,0
arter,0,3,0,0,0,0
hout,0,1,0,0,0,0
hevening,0,1,0,0,0,0
larst,0,1,0,0,0,0
owling,0,2,0,0,0,0
callin,0,1,0,0,0,0
somewheres,0,4,1,0,0,0
gardings,0,1,0,0,0,0
turnin,0,1,0,0,0,0
bust,0,1,0,0,0,0
rails,0,2,0,1,0,0
certing,0,1,0,0,0,0
gard,0,2,0,9,0,0
ners,0,1,0,0,0,0
ome,0,3,0,0,0,0
armony,0,2,0,0,0,0
garding,0,1,1,0,0,0
missis,0,1,2,0,0,0
huntin,0,1,0,0,0,0
seein,0,2,1,0,0,0
elaborate,0,1,1,3,0,0
badinage,0,1,0,0,0,0
surer,0,1,1,1,0,0
sovereign,0,5,1,8,1,0
briskly,0,1,6,2,0,0
chaffin,0,1,0,0,0,0
winked,0,1,2,5,0,0
idin,0,2,0,0,0,0
ner,0,1,0,0,0,0
wot,0,1,3,0,0,0
gallopin,0,1,0,0,0,0
faster,0,2,1,6,0,1
gallop,0,1,1,7,0,0
bein,0,2,0,0,0,0
storybook,0,1,0,0,0,0
dessay,0,1,0,0,0,0
packs,0,1,0,0,0,0
chivyin,0,1,0,0,0,0
afeared,0,1,0,0,0,0
chop,0,2,0,0,0,0
fightin,0,1,0,0,0,0
providin,0,1,0,0,0,0
hisself,0,1,3,0,0,0
shiverin,0,1,0,0,0,0
area,0,4,0,0,0,0
cellar,0,2,1,0,0,0
rum,0,2,57,9,0,0
butcher,0,3,1,2,0,0
shop,0,3,1,2,2,0
nursemaid,0,1,0,0,0,0
walkin,0,1,0,0,0,0
leavin,0,1,0,0,0,0
hinfant,0,1,0,0,0,0
perambulator,0,1,0,0,0,0
shouldn,0,1,5,0,0,0
census,0,1,0,0,0,0
babby,0,1,1,0,0,0
handing,0,2,0,1,2,0
bobbing,0,1,0,0,0,0
doubled,0,2,4,9,3,0
unnecessary,0,2,0,9,16,0
durability,0,1,0,0,0,0
quondam,0,1,0,0,0,0
masquerade,0,1,0,3,0,0
comedy,0,1,0,5,7,0
pathos,0,2,0,0,1,0
paralysed,0,3,0,1,0,0
penitent,0,2,0,3,0,0
vulpine,0,1,0,0,0,0
prodigal,0,1,0,1,2,0
gettin,0,1,1,0,0,0
shyme,0,1,0,0,0,0
bottles,0,1,2,9,0,0
fatted,0,1,0,0,3,0
exclusive,0,1,0,0,5,2
escapade,0,1,2,0,0,0
zoo,0,1,0,0,0,0
arrear,0,1,0,0,0,0
thunderstruck,0,1,0,5,0,0
sprawling,0,2,1,0,0,0
carpet,0,1,1,7,0,0
wary,0,1,0,0,0,0
prostrate,0,2,0,4,0,0
placidly,0,2,1,0,0,0
phases,0,2,0,0,0,1
forego,0,1,0,0,0,0
antwerp,0,1,0,0,1,0
sussex,0,1,0,0,0,0
county,0,1,0,0,0,0
cylinder,0,2,0,1,3,0
memorandum,0,6,0,0,0,0
perversely,0,1,0,0,0,0
shrubbery,0,3,0,1,0,0
pacify,0,1,0,1,1,0
aperture,0,3,1,10,0,0
clutched,0,5,0,3,0,0
hit,0,2,3,4,2,0
wheeling,0,2,2,0,0,0
circling,0,3,1,0,0,0
pillar,0,4,0,2,0,0
simoon,0,1,0,0,0,0
tolling,0,1,0,0,0,0
dazed,0,4,1,0,0,0
pattering,0,1,0,0,0,0
slammed,0,1,2,0,0,0
acrid,0,3,0,2,0,0
sideboard,0,1,0,0,0,0
drugged,0,2,0,1,0,0
shield,0,1,0,7,3,0
cab,0,4,0,17,0,0
response,0,6,0,6,1,0
laziness,0,1,0,0,1,1
abed,0,1,0,0,0,0
blamed,0,1,4,0,7,0
assail,0,1,0,1,0,0
ingress,0,1,0,1,0,0
porch,0,2,6,0,0,0
pat,0,1,0,1,0,0
coherently,0,1,0,0,0,0
surgical,0,2,0,0,0,0
pushed,0,2,2,16,0,2
dimly,0,2,1,0,2,0
stertorous,0,7,0,0,0,0
farthest,0,2,1,4,2,0
listens,0,1,0,1,1,0
restlessly,0,1,0,1,0,0
flick,0,3,0,0,0,0
towel,0,2,0,1,0,0
bath,0,5,0,5,3,0
heated,0,1,1,8,0,0
sobbing,0,4,0,4,0,0
boiler,0,1,0,0,0,0
chafing,0,1,0,0,0,0
sternest,0,2,0,0,0,0
stethoscope,0,1,0,0,0,0
beamed,0,1,0,2,0,0
blinds,0,3,0,10,0,0
etiquette,0,2,0,7,0,0
rigidly,0,1,0,1,1,0
observes,0,1,0,1,4,0
perplexity,0,2,1,0,5,0
outstretched,0,2,0,7,0,0
nick,0,1,1,1,0,1
strode,0,1,3,1,0,0
subcutaneous,0,1,0,0,0,0
slumber,0,1,1,9,0,0
cabmen,0,1,0,0,0,0
solved,0,2,0,3,3,0
certificate,0,3,0,8,0,0
properly,0,5,0,6,6,2
wisely,0,2,1,3,7,0
certify,0,1,0,2,0,0
registrar,0,1,0,0,0,0
undertaker,0,8,0,1,0,0
registration,0,1,0,0,0,0
forestalling,0,1,0,0,0,0
cheerless,0,1,0,0,0,0
shove,0,2,1,1,0,0
dutchman,0,2,1,0,0,0
camera,0,1,0,0,0,0
pampas,0,2,0,0,0,0
mare,0,1,0,0,0,0
vampires,0,4,0,2,0,0
gorge,0,1,0,1,0,0
bullet,0,3,2,4,0,0
bleeding,0,3,2,4,0,0
royal,0,1,4,15,18,0
answering,0,2,0,19,9,0
crux,0,1,0,0,0,0
eased,0,1,0,1,0,0
weakly,0,1,0,0,1,0
fitfully,0,1,0,0,0,0
unattended,0,2,0,1,0,0
patrolled,0,1,0,0,0,0
softer,0,1,0,2,1,0
telegraphed,0,2,0,0,0,0
choking,0,3,0,8,0,0
comatose,0,1,0,0,0,0
stimulant,0,1,0,0,0,0
rallied,0,1,0,2,0,0
rally,0,1,0,0,0,1
unopened,0,2,0,0,0,0
budget,0,1,0,1,0,0
dears,0,1,0,0,0,0
chick,0,1,0,1,0,0
installed,0,1,0,4,0,0
elms,0,1,0,0,0,0
rooks,0,2,0,1,0,0
cawing,0,2,0,0,0,0
chattering,0,1,0,1,0,0
gossiping,0,1,0,0,0,0
humans,0,1,0,0,0,0
housekeeping,0,1,0,1,1,0
partner,0,3,0,6,5,0
clients,0,3,0,0,0,0
starts,0,2,0,0,6,0
coax,0,1,0,0,0,0
placidity,0,1,0,1,0,0
tenses,0,1,0,0,0,0
patrick,0,2,0,0,0,0
hennessey,0,3,0,0,0,0
k,0,1,0,0,0,0
q,0,1,0,0,0,0
outbreak,0,1,0,0,0,0
carrier,0,1,0,0,0,0
abut,0,1,0,0,0,0
decent,0,3,0,2,0,0
mouthed,0,1,0,0,0,0
robbing,0,1,0,3,2,0
hinder,0,3,1,2,0,0
swing,0,1,4,1,0,0
madhouse,0,1,0,0,0,0
havin,0,1,0,0,0,0
civilly,0,1,0,0,0,0
revilings,0,1,0,0,0,0
blandly,0,1,7,0,0,0
oblivious,0,1,0,0,0,0
foreheads,0,1,0,1,0,0
butt,0,1,1,5,1,0
kittens,0,1,0,0,0,0
burly,0,1,1,0,0,0
frustrate,0,3,0,0,0,0
shan,0,2,0,0,0,0
inches,0,3,1,10,0,0
carriers,0,5,0,0,0,0
damages,0,1,0,0,0,0
penalties,0,1,0,1,1,0
indirect,0,1,0,1,5,1
drouth,0,1,0,0,0,0
reprehensible,0,1,0,0,0,0
entertainment,0,1,1,5,4,0
drift,0,3,1,0,0,0
grog,0,1,5,0,0,0
bloke,0,1,0,0,0,0
addresses,0,2,0,3,0,0
smollet,0,7,0,0,0,0
dudding,0,1,0,0,0,0
rents,0,3,0,0,0,1
walworth,0,6,0,0,0,0
snelling,0,3,0,0,0,0
farley,0,1,0,0,0,0
bethnal,0,2,0,0,0,0
harris,0,1,0,0,0,0
sons,0,8,1,5,40,0
shipment,0,1,0,0,0,0
soho,0,1,0,0,0,0
occurring,0,1,0,1,5,0
befriended,0,1,0,0,0,0
avarice,0,1,0,4,8,0
responsibility,0,4,0,7,3,0
puts,0,2,4,3,6,0
helps,0,1,0,0,1,0
troubling,0,2,1,1,1,0
spirited,0,2,1,3,17,0
duly,0,2,1,13,3,0
alarms,0,1,3,6,1,0
whiter,0,6,0,4,0,0
reeked,0,1,0,0,0,0
chaplet,0,1,0,0,0,0
odorous,0,1,0,0,0,0
stertorously,0,2,0,0,0,0
uneasily,0,2,0,7,0,0
wheeled,0,1,0,1,0,0
languidly,0,1,0,0,0,0
mercifully,0,1,0,1,0,0
sissing,0,1,0,0,0,0
indraw,0,1,0,0,0,0
ejaculation,0,1,0,0,0,0
dies,0,2,0,5,5,0
trusts,0,1,1,1,1,0
streaming,0,2,1,3,1,0
summon,0,4,0,10,0,0
easiest,0,1,0,2,2,0
ripples,0,2,4,0,0,0
stooping,0,3,5,3,4,0
matching,0,1,0,0,0,0
insensibly,0,1,0,2,6,0
swooped,0,1,0,0,0,0
aback,0,1,3,0,0,0
spasm,0,1,0,4,0,0
champed,0,3,0,0,0,0
untellable,0,1,0,0,0,0
registers,0,1,0,4,0,0
sterner,0,2,0,0,2,0
harshness,0,1,0,2,1,0
succeeding,0,1,0,2,3,0
urbane,0,1,0,0,0,0
staff,0,1,0,2,2,0
obsequious,0,1,1,1,0,0
suavity,0,1,0,1,0,0
establishment,0,1,0,13,1,2
disordered,0,1,0,4,5,0
notify,0,1,0,0,0,0
bidden,0,1,1,1,2,0
lawyer,0,1,0,5,2,1
coroner,0,2,0,0,0,0
explicit,0,1,0,2,1,0
burial,0,5,0,4,4,0
specific,0,1,0,2,0,0
lad,0,4,28,8,0,0
sanction,0,2,0,3,4,0
recuperate,0,1,0,0,0,0
chapelle,0,1,0,4,0,0
ardente,0,1,0,0,0,0
wilderness,0,1,0,2,2,0
candles,0,2,0,3,0,0
effacing,0,1,0,1,0,0
sternly,0,7,1,1,1,0
premonitory,0,1,0,0,0,0
tap,0,1,4,1,0,0
mortem,0,2,0,0,0,0
knives,0,5,2,0,0,0
autopsy,0,1,0,0,0,0
coffined,0,1,0,0,0,0
mutilate,0,1,0,0,0,0
bleed,0,2,0,3,0,0
unasked,0,1,0,0,0,0
worthless,0,1,1,1,4,1
forenoon,0,1,0,1,0,0
marquand,0,2,0,0,0,0
wholeman,0,1,0,0,0,0
lidderdale,0,1,0,0,0,0
appreciative,0,1,0,0,0,0
entailed,0,1,0,0,0,0
default,0,1,0,0,0,0
testamentary,0,1,0,1,0,0
contingencies,0,1,0,0,0,0
matrimonial,0,1,0,6,0,0
alliance,0,2,0,17,6,1
collision,0,1,0,1,0,0
ninety,0,1,1,5,0,0
logic,0,4,0,4,16,0
predeceasing,0,1,0,0,0,0
survived,0,3,0,1,0,1
decease,0,1,0,2,0,0
intestacy,0,1,0,0,0,0
inheritors,0,1,0,0,0,0
sentimental,0,1,0,0,0,1
rejoicing,0,1,0,1,2,0
limitations,0,5,0,1,1,0
hostile,0,2,0,3,4,2
criticism,0,1,0,0,8,6
display,0,1,0,15,0,1
lowered,0,2,1,10,0,0
arrangement,0,1,2,5,4,1
adhered,0,1,0,0,0,0
stupidity,0,1,0,3,1,0
shrunk,0,1,0,3,0,0
genuinely,0,1,0,0,0,0
devotedly,0,1,0,3,0,0
constraint,0,1,0,0,0,0
huskily,0,1,0,0,0,0
comforted,0,2,1,5,0,0
tightening,0,1,0,0,1,0
unison,0,1,0,2,0,0
enhancing,0,1,0,0,0,0
ague,0,1,1,1,0,0
suggest,0,2,0,3,5,0
acute,0,1,0,4,2,0
lovingly,0,3,0,0,0,0
screw,0,2,0,1,0,0
cigars,0,2,0,12,0,0
offensively,0,1,0,0,0,0
patrolling,0,1,0,1,0,0
strewn,0,1,1,2,1,0
lily,0,2,0,2,0,0
freshen,0,1,0,0,0,0
representing,0,1,0,6,4,1
president,0,1,0,89,0,0
incorporated,0,2,0,0,0,0
bus,0,1,0,0,0,0
hyde,0,1,0,0,0,0
piccadilly,0,23,0,0,0,0
improper,0,1,0,0,2,0
teaching,0,4,0,2,7,0
decorum,0,1,0,3,0,0
biting,0,1,1,5,0,0
victoria,0,1,0,0,0,0
guiliano,0,1,0,0,0,0
clutch,0,1,0,2,0,0
bulging,0,1,0,0,0,0
beaky,0,1,0,0,0,0
sensual,0,1,0,0,6,0
staring,0,4,5,5,0,0
nasty,0,1,1,0,0,0
hansom,0,1,0,0,0,0
shady,0,1,0,1,0,0
episode,0,2,0,0,1,0
lapsing,0,2,0,0,0,0
whoever,0,2,0,8,1,0
viking,0,1,0,0,0,0
restraint,0,1,0,4,3,0
transfused,0,1,0,0,0,0
misjudge,0,1,0,0,0,0
manifestations,0,1,0,0,0,0
characteristic,0,1,0,5,15,0
forceful,0,2,0,0,0,0
suitability,0,1,0,1,0,0
sufferers,0,1,0,1,3,0
sexton,0,4,0,0,0,0
thud,0,2,0,0,0,0
yearn,0,1,0,0,0,0
bellow,0,1,0,2,0,0
dance,0,3,17,9,1,0
smileless,0,1,0,0,0,0
ropes,0,3,1,1,0,0
brace,0,1,6,4,0,0
irony,0,3,0,6,8,0
garlanded,0,1,0,0,0,0
kin,0,4,0,0,0,0
toll,0,3,0,0,0,0
garments,0,2,0,7,4,0
comic,0,1,0,2,4,0
polyandrist,0,1,0,0,0,0
bigamist,0,1,0,0,0,0
lordly,0,2,0,0,1,0
hampstead,0,8,0,0,0,0
themes,0,1,0,2,0,0
thread,0,3,3,9,4,0
finis,0,2,0,1,0,0
westminster,0,5,0,0,0,0
parallel,0,1,0,3,13,0
headlines,0,1,0,0,0,0
kensington,0,1,0,0,0,0
stabbing,0,1,0,0,0,0
straying,0,2,0,0,0,0
neglecting,0,1,1,1,2,0
intelligible,0,1,0,2,15,0
consensus,0,1,0,0,0,0
excuses,0,1,0,8,0,0
bloofer,0,8,0,0,0,0
luring,0,1,0,0,0,0
wiles,0,1,0,0,0,0
tots,0,1,0,0,0,0
supremely,0,2,0,2,2,0
caricaturists,0,1,0,0,0,0
comparing,0,1,0,2,4,0
al,0,1,0,7,0,0
fresco,0,1,0,0,0,0
performances,0,1,0,2,0,0
na,0,2,0,1,0,0
vely,0,1,0,0,0,0
ellen,0,1,0,0,0,0
terry,0,1,0,0,0,0
winningly,0,1,0,0,0,0
grubby,0,1,0,0,0,0
individually,0,3,0,0,3,0
inflicts,0,1,0,2,0,0
stray,0,2,0,2,0,0
extra,0,2,1,1,0,0
furze,0,1,0,0,0,0
bush,0,2,2,0,0,0
shooter,0,1,0,0,0,0
frequented,0,1,0,0,0,0
lured,0,1,0,0,0,0
continuity,0,1,0,0,0,0
transcribing,0,1,0,0,0,0
worried,0,5,0,0,0,0
nervousness,0,2,0,1,0,0
empowered,0,1,0,1,0,0
vitally,0,1,0,0,0,0
implore,0,5,0,4,1,0
enlighten,0,1,0,4,1,0
draws,0,1,0,2,12,1
silly,0,2,1,5,0,2
tinges,0,1,0,0,0,0
negative,0,3,0,5,3,0
questioning,0,5,0,5,3,0
accepted,0,2,0,24,2,0
haunts,0,2,0,2,0,0
refine,0,1,0,0,1,0
verbatim,0,1,0,0,0,0
deux,0,1,0,0,0,0
mains,0,1,0,0,0,0
poise,0,2,0,0,0,0
indicative,0,2,0,2,0,0
mobile,0,1,0,0,0,0
broaden,0,1,0,0,0,0
tightens,0,1,0,0,0,0
bumps,0,1,0,0,0,0
reddish,0,1,0,4,1,0
tumble,0,1,0,0,0,0
falls,0,5,0,8,17,0
widely,0,1,1,0,1,0
helper,0,2,0,0,1,0
inference,0,3,0,0,14,0
mystifying,0,1,0,0,0,0
mouths,0,1,0,4,5,0
demurely,0,1,0,0,0,0
typewritten,0,4,0,0,0,0
copy,0,9,1,2,6,0
workbasket,0,1,0,0,0,0
glistened,0,1,0,8,0,0
hurriedly,0,6,0,3,0,0
ablaze,0,1,1,0,0,1
daze,0,1,0,0,0,0
dazzle,0,3,0,3,0,0
darknesses,0,1,0,0,0,0
specialty,0,1,0,0,0,0
goodly,0,1,0,1,2,0
angels,0,4,0,5,5,0
friendships,0,1,0,3,1,0
nobility,0,1,0,16,2,3
truths,0,2,0,4,15,3
overwrought,0,2,0,0,0,0
paddington,0,3,0,0,0,0
permanence,0,1,0,0,1,0
launceston,0,1,0,0,0,0
copied,0,4,0,4,0,0
distrustful,0,1,0,1,0,0
unmask,0,1,0,0,0,0
scrutiny,0,1,0,9,0,0
unreality,0,1,0,0,3,0
groove,0,2,0,0,0,0
mistrusted,0,1,0,0,1,0
physiognomist,0,1,0,1,0,0
praising,0,1,0,2,9,0
egoist,0,1,0,0,0,0
choky,0,1,0,0,0,0
groaning,0,1,3,5,1,0
whistle,0,4,10,1,0,0
finality,0,1,0,0,0,0
intents,0,1,0,1,0,0
bubbling,0,1,3,0,0,0
buoyancy,0,1,0,0,0,0
cicatrised,0,1,0,0,0,0
reopened,0,1,0,3,0,0
whet,0,2,0,0,0,0
paragraph,0,1,0,11,1,0
decoyed,0,1,0,0,0,0
punctured,0,1,0,0,0,0
indirectly,0,1,0,1,1,0
sobered,0,1,0,0,0,0
data,0,2,0,0,1,0
hints,0,1,0,1,2,0
wit,0,1,0,9,4,0
fault,0,1,1,50,18,0
beliefs,0,2,0,0,6,0
opera,0,1,0,44,0,0
corporeal,0,2,0,0,0,0
transference,0,1,0,0,0,0
materialisation,0,1,0,0,0,0
astral,0,1,0,0,0,0
hypnotism,0,4,0,0,0,0
charcot,0,2,0,0,0,0
premise,0,1,0,0,0,0
reject,0,1,0,1,6,1
electrical,0,1,0,0,0,0
unholy,0,3,0,0,9,0
wizards,0,1,0,0,0,0
methuselah,0,1,0,0,0,0
parr,0,1,0,0,0,0
sixty,0,1,0,18,1,0
brutes,0,2,1,1,2,0
oil,0,2,0,6,0,0
cattle,0,2,0,0,2,0
pods,0,1,0,0,0,0
bitten,0,3,1,4,0,0
tortoise,0,1,0,1,0,0
dynasties,0,1,0,0,1,0
parrot,0,1,9,1,0,0
bite,0,2,5,5,2,0
vouched,0,1,0,0,0,0
toads,0,1,0,0,0,0
fakir,0,2,0,0,0,0
sowed,0,1,0,0,0,0
reaped,0,2,0,1,1,0
unbroken,0,1,3,1,0,0
pet,0,2,1,0,0,0
thesis,0,2,0,0,9,0
novice,0,1,0,0,0,0
lumbering,0,1,0,0,0,0
bog,0,2,1,0,0,0
tussock,0,3,0,0,0,0
defined,0,1,0,3,12,0
enables,0,1,0,6,3,0
untrue,0,1,0,0,7,0
truck,0,2,1,0,0,0
receptivity,0,1,0,0,0,0
elbows,0,3,2,4,0,0
covering,0,1,1,5,1,0
mastered,0,1,0,3,0,0
smote,0,1,1,0,3,0
abstract,0,1,0,0,21,0
concrete,0,1,0,0,2,0
byron,0,1,0,4,0,0
excepted,0,1,0,0,0,0
category,0,1,0,1,0,2
jealousy,0,1,1,11,6,0
vincent,0,3,0,0,0,0
plucked,0,1,5,3,0,0
bandage,0,1,4,10,0,0
mistaking,0,3,0,1,0,0
smaller,0,3,1,2,11,0
fresher,0,1,0,0,0,0
alley,0,2,0,3,0,0
gala,0,1,0,0,0,0
mite,0,1,0,0,0,0
reckoned,0,2,2,9,6,0
bicyclists,0,1,0,0,0,0
genially,0,1,0,0,0,0
individual,0,3,0,10,116,12
radius,0,1,0,0,0,0
unhesitatingly,0,1,0,6,1,0
mixup,0,1,0,0,0,0
fewer,0,2,0,1,0,0
patrol,0,1,0,0,0,0
suburban,0,1,0,0,0,0
climbed,0,1,2,7,0,0
creaky,0,1,0,0,0,0
politely,0,2,0,3,0,0
unconsciously,0,7,0,8,4,0
precede,0,2,0,2,1,0
courtliness,0,1,0,0,0,0
plight,0,2,0,0,0,0
fumbled,0,1,0,0,0,0
matchbox,0,1,0,0,0,0
wreathed,0,2,0,0,0,0
lank,0,1,0,0,1,0
whites,0,1,0,0,0,0
greens,0,1,0,0,0,0
browns,0,1,0,0,0,0
beetle,0,1,0,1,0,0
dominance,0,2,0,0,0,0
discoloured,0,1,1,0,0,0
encrusted,0,2,0,1,0,0
tarnished,0,1,0,0,0,0
plating,0,1,0,0,0,0
sordid,0,1,0,0,1,0
irresistibly,0,1,0,2,0,0
systematically,0,2,0,0,0,0
plates,0,1,0,1,0,0
sperm,0,1,0,0,0,0
congealed,0,1,0,0,0,0
turnscrew,0,2,0,0,0,0
straightway,0,1,0,0,1,1
screws,0,1,0,0,0,0
casing,0,1,0,0,0,0
affront,0,1,0,1,0,0
stripped,0,1,0,2,5,2
fumbling,0,2,0,0,0,0
stab,0,1,1,3,0,0
gas,0,4,0,0,0,0
sawed,0,2,0,0,0,0
unmoved,0,1,1,8,0,0
emboldened,0,1,0,1,0,0
dogged,0,2,0,0,0,0
argumentativeness,0,1,0,0,0,0
snatcher,0,1,0,0,0,0
duplicates,0,1,0,1,0,0
pick,0,3,11,2,3,1
yew,0,5,0,2,1,0
headstones,0,2,0,0,0,0
unnerved,0,1,0,1,0,0
errand,0,1,0,7,0,0
keenly,0,7,1,2,1,0
observant,0,1,0,0,0,0
railed,0,1,0,1,0,0
tombs,0,3,0,2,0,0
stumbled,0,1,3,4,1,0
juniper,0,2,0,0,0,0
rustle,0,2,1,0,0,0
aggressive,0,1,0,0,1,0
thankfully,0,2,0,2,0,0
policeman,0,5,0,1,0,0
tramp,0,1,2,1,0,0
spaniards,0,1,1,6,0,0
insists,0,2,0,2,7,1
stragglers,0,1,0,0,0,0
mourners,0,1,0,0,0,0
alder,0,1,0,0,0,0
perils,0,1,2,2,1,0
incurring,0,1,0,2,1,0
outrageous,0,1,0,0,1,0
leaden,0,7,1,4,2,0
eyesight,0,1,0,1,4,0
shrugged,0,1,0,10,0,0
courteously,0,1,0,2,0,0
unutterably,0,1,0,0,0,0
radiantly,0,2,0,0,0,0
juggle,0,1,0,0,0,0
